id,city,latitude,longitude
0,Albania,41.000028,19.9999619
1,Algeria,28.0000272,2.9999825
2,Armenia,40.7696272,44.6736646
3,Austria,47.2000338,13.199959
4,Azerbaijan,40.1636668,47.8207429
5,Belarus,53.4250605,27.6971358
6,Belgium,50.6407351,4.66696
7,Bosnia and Herzegovina,44.3092405,17.5859673
8,Bulgaria,42.6073975,25.4856617
9,Croatia,45.5643442,17.0118954
10,Cyprus,34.9823018,33.1451285
11,Czech Republic,49.8167003,15.4749544
12,Denmark,55.670249,10.3333283
13,Egypt,26.2540493,29.2675469
14,Estonia,58.7523778,25.3319078
15,Finland,63.2467777,25.9209164
16,France,46.603354,1.8883335
17,Georgia,41.6809707,44.0287382
18,Germany,51.0834196,10.4234469
19,Greece,39.000041,21.9999569
20,Hungary,47.1817585,19.5060937
21,Iran,32.9407496,52.9471344
22,Iraq,33.0955793,44.1749775
23,Ireland,52.865196,-7.9794599
24,Israel,30.8760272,35.0015196
25,Italy,42.6384261,12.674297
26,Jordan,31.1667049,36.941628
27,Kazakhstan,47.2286086,65.2093197
28,Latvia,56.8666904,24.5999717
29,Lebanon,33.8750629,35.843409
30,Libya,26.8234472,18.1236723
31,Lithuania,55.3500003,23.7499998
32,Luxembourg,49.8158683,6.1296751
33,Malta,27.5015719,85.2451666
34,Moldova,47.286747,28.5110236
35,Morocco,31.1728192,-7.3366043
36,Netherlands,52.2379891,5.53460738161551
37,Norway,64.574131,11.5270102892405
38,Poland,52.0977181,19.0258159
39,Portugal,40.033265,-7.8896263
40,Romania,45.9852129,24.6859225
41,Russian Federation,64.6863136,97.7453061
42,Saudi Arabia,25.6242618,42.3528328
43,Serbia & Kosovo,44.1534121,20.55144
44,Slovak Republic,48.7411522,19.4528646
45,Slovenia,45.8133113,14.4808369
46,Spain,40.0028028,-4.003104
47,Sweden,59.6749712,14.5208584
48,Switzerland,46.7985624,8.2319736
49,Tajikistan,38.6281733,70.8156541
50,Tunisia,33.8439408,9.400138
51,Turkey,38.9597594,34.9249653
52,Ukraine,49.4871968,31.2718321
53,United Kingdom,54.7023545,-3.2765753
54,Yemen,16.3471243,47.8915271
55,Mauritania,20.2540382,-9.2399263
56,Mali,16.3700359,-2.2900239
57,Niger,17.7356214,9.3238432
58,Chad,15.6134137,19.0156172
59,Sudan,14.5844444,29.4917691
60,Pakistan,30.3308401,71.247499
61,Afghanistan,33.0000866,64.9998468
62,Turkmenistan,39.3763807,59.3924609
63,Uzbekistan,41.32373,63.9528098